Mol,HFE,Temp,gf_w_40,gf_w_80,gf_w_120,gf_w_160,gf_w_200,gf_w_240,gf_w_280,gf_w_320,gf_w_360,gf_w_400,gf_w_440,gf_w_480,gf_w_520,gf_w_560,gf_w_600,gf_w_640,gf_w_680,gf_w_720,gf_w_760,gf_w_800,gf_w_840,gf_w_880,gf_w_920,gf_w_960,gf_w_1000,gf_w_1040,gf_w_1080,gf_w_1120,gf_w_1160,gf_w_1200,gf_w_1240,gf_w_1280,gf_w_1320,gf_w_1360,gf_w_1400,gf_w_1440,gf_w_1480,gf_w_1520,gf_w_1560,gf_w_1600,gf_w_1640,gf_w_1680,gf_w_1720,gf_w_1760,gf_w_1800,gf_w_1840,gf_w_1880,gf_w_1920,gf_w_1960,gf_w_2000,gf_w_2040,gf_w_2080,gf_w_2120,gf_w_2160,gf_w_2200,gf_w_2240,gf_w_2280,gf_w_2320,gf_w_2360,gf_w_2400,gf_w_2440,gf_w_2480,gf_w_2520,gf_w_2560,gf_w_2600,gf_w_2640,gf_w_2680,gf_w_2720,gf_w_2760,gf_w_2800,gf_w_2840,gf_w_2880,gf_w_2920,gf_w_2960,gf_w_3000,gf_w_3040,gf_w_3080,gf_w_3120,gf_w_3160,gf_w_3200,gf_w_3240,gf_w_3280,gf_w_3320,gf_w_3360,gf_w_3400,gf_w_3440,gf_w_3480,gf_w_3520,gf_w_3560,gf_w_3600,gf_w_3640,gf_w_3680,gf_w_3720,gf_w_3760,gf_w_3800,gf_w_3840,gf_w_3880,gf_w_3920,gf_w_3960,gf_w_4000,gf_w_4040,gf_w_4080,gf_w_4120,gf_w_4160,gf_w_4200,gf_w_4240,gf_w_4280,gf_w_4320,gf_w_4360,gf_w_4400,gf_w_4440,gf_w_4480,gf_w_4520,gf_w_4560,gf_w_4600,gf_w_4640,gf_w_4680,gf_w_4720,gf_w_4760,gf_w_4800,gf_w_4840,gf_w_4880,gf_w_4920,gf_w_4960,gf_w_5000,gf_w_5040,gf_w_5080,gf_w_5120,gf_w_5160,gf_w_5200,gf_w_5240,gf_w_5280,gf_w_5320,gf_w_5360,gf_w_5400,gf_w_5440,gf_w_5480,gf_w_5520,gf_w_5560,gf_w_5600,gf_w_5640,gf_w_5680,gf_w_5720,gf_w_5760,gf_w_5800,gf_w_5840,gf_w_5880,gf_w_5920,gf_w_5960,gf_w_6000,gf_w_6040,gf_w_6080,gf_w_6120,gf_w_6160,gf_w_6200,gf_w_6240,gf_w_6280,gf_w_6320,gf_w_6360,gf_w_6400
0471dim,-5.22,298,0.025766848,0.104789841,0.238165388,0.426861415,0.670846226,0.968453287,1.316681988,1.713811336,2.159525436,2.651456221,3.185266145,3.756813113,4.361743499,4.996095682,5.658447619,6.346914336,7.055079627,7.773659671,8.492262349,9.20031271,9.887974546,10.54707732,11.17314538,11.76631074,12.33157885,12.87938717,13.42481289,13.9922609,14.62974279,15.40119984,16.35503703,17.3989541,15.85242681,0.86642338,-30.72574467,-58.78513698,-68.47058606,-65.50560661,-54.68130866,-40.05025757,-25.51049143,-11.86938216,0.734471265,12.04539355,21.07255607,26.11928072,25.91129092,20.77698572,12.64824975,4.063344095,-2.932027134,-7.332077821,-9.12993473,-7.673609914,-0.405358009,15.63541396,40.39267831,69.51934329,95.82498686,109.5347463,111.6675289,105.0461557,93.68099427,79.64245322,63.92827736,47.3841493,30.80843924,14.93146632,0.143524059,-13.5465197,-26.19879573,-37.85181835,-48.41832736,-57.41801375,-64.6997966,-70.13691657,-73.56325354,-74.92266443,-74.24785309,-71.71646424,-67.55848318,-61.84288067,-54.49060887,-45.5099817,-35.25223115,-24.35582073,-13.67404299,-3.937163902,4.369848388,11.03046158,16.04033944,19.54484727,21.75341436,22.9180334,23.29202652,23.09539379,22.50067201,21.63135562,20.57408802,19.39413884,18.14680645,16.86614241,15.56506682,14.22139103,12.75869363,11.08211921,9.137097979,6.958256695,4.644991704,2.381547337,0.361289546,-1.330232829,-2.728078941,-3.977214864,-5.254755093,-6.694303357,-8.347653944,-10.19041705,-12.14523924,-14.10577365,-15.97439386,-17.6788873,-19.16221069,-20.34907191,-21.16898113,-21.58805684,-21.58613235,-21.15094091,-20.26963218,-18.94545311,-17.2109943,-15.12221961,-12.73996276,-10.13887147,-7.411130158,-4.65040099,-1.937361631,0.670163173,3.143381929,5.470934848,7.648557055,9.664578368,11.46132157,12.94497988,14.0268851,14.6559138,14.82791515,14.56881533,13.91689406,12.9297983,11.67200357,10.20881827,8.614127016,6.955611206,5.288643424,3.652361899,2.07562874,0.576006355,-0.833794579,-2.143944622
0088but,-6.36,298,0.026203372,0.105586491,0.236747296,0.418200593,0.648535733,0.925969125,1.248145866,1.612227858,2.019316339,2.472739459,2.966806239,3.491909511,4.039995996,4.605717768,5.183456121,5.768059986,6.355829217,6.942488733,7.525917266,8.102118508,8.665790277,9.210553815,9.729516577,10.21901631,10.68068014,11.12259025,11.52351782,4.052181114,-60.88383813,-98.88234794,-106.171396,-103.7363756,-107.2391375,-107.8577971,-94.50433302,-80.17341113,-63.84092038,-45.25784186,-26.96719394,-10.67345073,3.466115296,15.62655777,26.0643104,34.8217571,41.27637213,44.04565094,41.9480215,35.00903192,23.77489703,9.842287629,-3.031158511,-8.298369526,5.769188272,50.32949862,123.8926022,196.7871881,239.0388246,256.3424346,254.8569677,239.422732,213.8287224,181.133098,143.7146309,103.5214398,62.76541693,23.96993632,-10.82584055,-41.96813869,-70.19899438,-95.5917705,-117.8961864,-137.0874601,-152.9753826,-164.8202362,-172.1113073,-174.2657188,-171.6607075,-164.9248122,-154.6974184,-141.6802623,-126.5849362,-109.9825749,-92.22939271,-73.93568395,-55.705485,-38.05518587,-21.30867785,-5.686716039,8.693054545,21.80156492,33.46133607,43.53197559,51.85342251,58.39756841,63.28609353,66.69281378,68.80846225,69.7627083,69.52112624,67.86464985,64.87342672,60.87849928,56.11517142,50.79348154,45.1757438,39.52903541,34.0567841,28.86358809,23.92531264,19.14298063,14.3777811,9.478144527,4.346024603,-1.038241133,-6.6289402,-12.3116307,-17.95429263,-23.40670615,-28.51739876,-33.11450048,-37.04659735,-40.24227896,-42.67706357,-44.3288123,-45.18162688,-45.25582854,-44.61097138,-43.3427627,-41.54176176,-39.23360282,-36.38490986,-32.96522633,-28.98671962,-24.51136259,-19.63350715,-14.46219448,-9.101296189,-3.62464958,1.910655627,7.442911052,12.87579808,18.0550209,22.74937496,26.80587848,30.12325007,32.61774733,34.25418395,34.99850145,34.82181014,33.75198547,31.89436438,29.38373711,26.35671592,22.95831791,19.32511439,15.56506426,11.76545988,7.987987384,4.287515191,0.731915499
test1044,-3.6,298,0.071737972,0.289103744,0.648644614,1.146341104,1.778180633,2.539661944,3.424812613,4.426173006,5.534699441,6.738482644,8.025390676,9.385545833,10.81144541,12.29292724,13.81857528,15.37678739,16.95496072,18.54088739,20.11973315,21.67292713,23.18003094,24.62712007,26.00430797,27.3065719,28.54160608,29.73397751,30.92815669,32.22067653,33.79578047,35.76809695,34.81409143,13.6900888,-29.15281174,-51.44387281,-55.93201478,-50.43932311,-38.63059688,-22.6814696,-5.603797404,8.672295005,20.5959751,31.02312169,40.23640925,47.14941727,49.17809457,43.52678733,29.14097388,7.755943613,-16.70862377,-39.76199656,-57.39042792,-65.20602223,-58.78575367,-35.71100989,0.488973669,39.15141075,66.83208554,86.60353914,102.5538262,116.4337922,127.6569856,134.5046899,134.6673124,126.5797737,112.6554733,95.15858066,75.37554649,54.23129677,32.75035293,11.06503677,-10.64213994,-32.02042454,-52.48396253,-71.24201537,-87.51452714,-100.9205254,-111.3590406,-118.6330699,-122.4772369,-122.8486493,-119.8918957,-113.8766988,-105.0791786,-93.88181247,-80.74659334,-66.23372925,-51.11974587,-36.33465569,-22.58504326,-10.35505728,0.06007909,8.524773482,15.02262577,19.62417647,22.52335861,24.06185606,24.65290969,24.65170169,24.26069911,23.47918103,22.18520461,20.29586343,17.82929699,14.84107319,11.41152399,7.701323281,3.954248249,0.45479384,-2.511703067,-4.755528669,-6.190224303,-6.907319182,-7.149056024,-7.235134198,-7.490261355,-8.160026713,-9.356778892,-11.05535854,-13.12568203,-15.37983758,-17.60365636,-19.59572589,-21.22195603,-22.38215183,-23.00302253,-23.04764627,-22.51308009,-21.46810167,-20.00764918,-18.23746421,-16.29137691,-14.28566545,-12.28023835,-10.26593507,-8.171593979,-5.902646324,-3.404709178,-0.664911558,2.302119313,5.458717263,8.727433739,11.97387781,15.03426806,17.74381133,19.98314627,21.69940241,22.87386299,23.49241905,23.51779879,22.88640365,21.54080926,19.47741084,16.78762656,13.6436815,10.22040666,6.649596937,3.027420404,-0.580094427,-4.123065886,-7.525088293
0422ftc,0.82,298,0.016949757,0.068951437,0.156641621,0.280269988,0.439294035,0.632357862,0.857445389,1.11231942,1.394706758,1.702236088,2.032083384,2.380782213,2.744843047,3.120977581,3.506168952,3.89766817,4.293012423,4.690027431,5.086755662,5.481400157,5.872513766,6.25944986,6.642704255,7.023626702,7.40360923,7.782948947,8.159800674,8.53189491,8.8968311,9.251817889,9.591359047,9.876895486,9.97749412,9.745151058,9.179033602,8.41462383,7.587370369,6.729822047,5.776549148,4.645436918,3.293604613,1.719878693,-0.045673865,-1.960381054,-3.981427039,-6.069236586,-8.186821353,-10.29713782,-12.33823454,-14.08767333,-14.88484134,-13.66480466,-9.730430011,-3.535614752,3.624333558,10.55792003,18.07163861,28.95974266,43.91563532,60.65638845,73.97413987,79.86710292,80.3940898,77.18086039,71.38669989,63.84285771,55.23234133,46.01796459,36.47453263,26.79347041,17.11551568,7.560523416,-1.755888878,-10.72991399,-19.25881709,-26.88753767,-33.55951869,-39.3258907,-44.05698719,-47.5795865,-49.80112229,-50.84472524,-50.95530698,-50.41408605,-49.44174168,-48.20301444,-46.82191646,-45.38949092,-43.97187845,-42.61302744,-41.3221366,-40.0261819,-38.50935252,-36.41775542,-33.38235679,-29.18803795,-23.99948905,-18.17003623,-11.99457177,-5.705444545,0.532780732,6.590806662,12.354547,17.68546551,22.38023507,26.42117512,29.82276572,32.60328294,34.73963652,36.19888485,36.96138696,37.08761946,36.6875219,35.83453897,34.55711448,32.83424521,30.61195601,27.84059116,24.52813332,20.79118517,16.76439814,12.56606538,8.301102678,4.063104461,-0.05868262,-3.997015584,-7.699128026,-11.11959717,-14.21914682,-16.96510427,-19.33146455,-21.29731669,-22.82109792,-23.89422719,-24.5260058,-24.73251462,-24.53784645,-23.97405059,-23.08386357,-21.9111307,-20.49782969,-18.89001402,-17.12923169,-15.25219847,-13.29220739,-11.27882187,-9.23826856,-7.193788099,-5.166593861,-3.176579421,-1.243105833,0.614680816,2.377493053,4.025327296,5.539869409,6.904076585,8.102777711,9.123503807,9.956659177,10.59575154
0068ani,-2.45,298,0.022792858,0.092436425,0.209207309,0.373493958,0.585542493,0.844799931,1.149240541,1.495718423,1.881278156,2.303923882,2.762078585,3.253799263,3.77682709,4.328916646,4.907106657,5.507320933,6.12449488,6.752352136,7.383403763,8.009707684,8.624116508,9.221438373,9.798981746,10.35735218,10.90191384,11.44317252,11.99590177,12.58085355,13.23150667,13.9990881,14.89632076,15.30406017,13.44373356,8.944161412,3.889706419,-0.108225743,-2.673322566,-3.590126829,-2.615711493,0.231230706,4.626761455,10.09194133,15.96563039,20.79792323,21.71085618,15.51193311,1.255934475,-18.67135655,-40.01234626,-58.80949737,-72.33449863,-79.83513296,-81.43449311,-76.49435444,-64.33926457,-45.16778831,-20.52627687,6.720369445,32.81964663,54.52930759,70.48176602,80.41826994,84.44912821,83.85837949,80.04026844,74.00579663,66.41600519,57.67337882,48.08971447,37.91878983,27.38837901,16.7601658,6.323864787,-3.659210879,-12.94611157,-21.27969157,-28.36545995,-33.94818182,-37.83141509,-39.90345105,-40.10109666,-38.43931052,-35.08463956,-30.34532213,-24.69294806,-18.69088579,-12.92842921,-7.933673557,-4.075903996,-1.51860497,-0.183576228,0.135732232,-0.312456982,-1.275164021,-2.514039807,-3.824394406,-5.046339332,-6.068497677,-6.810530786,-7.212054592,-7.242751203,-6.897596771,-6.194583317,-5.193059293,-3.990259638,-2.680633744,-1.329573357,0.043286898,1.4591419,2.953469877,4.552021442,6.233836284,7.89551375,9.36645928,10.4510883,11.00024868,10.95133663,10.33030781,9.223608201,7.727622496,5.929142022,3.897216563,1.690014612,-0.631387348,-2.983623587,-5.263294542,-7.369965932,-9.22863281,-10.80336208,-12.09514954,-13.12289774,-13.88173473,-14.32506021,-14.38538169,-14.00543366,-13.1675416,-11.91921575,-10.35687329,-8.58976471,-6.722491728,-4.847203996,-3.040007869,-1.353306187,0.18151823,1.5539171,2.766485584,3.81850081,4.698804485,5.391944737,5.880535441,6.146368037,6.181062446,5.992730767,5.60694711,5.06289008,4.405482627,3.675850009,2.908956691,2.13179366,1.363583534
0090hex,-6.21,298,0.044067611,0.17732527,0.396841666,0.699467362,1.082500841,1.543017447,2.077043626,2.679200018,3.347267028,4.080730705,4.869972409,5.70108627,6.561466524,7.44134385,8.331487342,9.224224456,10.11402258,10.99467542,11.86174348,12.70881559,13.52830749,14.31167802,15.04999476,15.73836437,16.3795495,16.98627949,17.54509923,10.0110932,-55.38738924,-92.96139778,-99.68236243,-96.52481128,-99.14055854,-98.73800135,-84.23208665,-68.97266251,-52.14606411,-33.44144956,-15.23721737,0.850512052,14.75073758,26.68345729,36.91065604,45.39544308,51.19421634,52.30865521,46.99903059,35.28794781,18.37666546,-1.121421058,-18.60179049,-27.07692986,-14.95699158,28.7654912,102.5833195,176.2732617,220.0346255,239.293847,240.2070562,227.5588215,204.9723028,175.3050818,140.811869,103.3412122,65.11110134,28.81162357,-3.769478416,-33.08709147,-59.99717406,-84.70857696,-106.8818001,-126.4377516,-143.0982744,-155.9942688,-164.508996,-167.9653728,-166.700568,-161.3107572,-152.4073036,-140.6680487,-126.7523218,-111.1787485,-94.23408883,-76.47225706,-58.48304049,-40.80527416,-23.82746959,-7.834108776,6.969282701,20.42360243,32.25453356,42.22135492,50.15284501,56.07039203,60.17239529,62.71122881,63.96336137,64.14553063,63.31153297,61.22442552,57.91572955,53.63813843,48.55015337,42.84608219,36.83856996,30.85141804,25.14668863,19.88769724,15.10093345,10.71102689,6.573091458,2.542791163,-1.510211606,-5.71025364,-10.07758485,-14.52864896,-18.96035905,-23.2463737,-27.24950943,-30.79092071,-33.74341093,-36.10975078,-37.85493541,-38.93668451,-39.34660738,-39.10498061,-38.26444375,-36.89699764,-35.04925146,-32.71240784,-29.854015,-26.48153789,-22.66966131,-18.51783784,-14.12407159,-9.587502655,-4.995775606,-0.384329576,4.204196595,8.691764362,12.93680433,16.79307499,20.09531724,22.75587004,24.75640881,26.10330378,26.8044521,26.82017118,26.15735806,24.87962851,23.08007878,20.83988598,18.22778762,15.31859685,12.19154298,8.935931778,5.646261944,2.399170928,-0.737158944,-3.705090554
0071proa,-3.44,298,0.01635618,0.065915676,0.147803556,0.260970276,0.404426599,0.576980916,0.776684264,1.001140997,1.248987583,1.519360774,1.810127999,2.119504052,2.447910746,2.796141168,3.162248094,3.543769779,3.939255753,4.346887222,4.763548331,5.185101666,5.606473734,6.021492601,6.422858751,6.806382635,7.17607136,7.541121245,7.911769148,8.301509438,8.737536272,9.235435462,8.613328686,-1.105048215,-26.58977247,-51.95826815,-61.58654882,-60.79821832,-54.10812514,-44.3384501,-34.07310631,-25.48691995,-18.48459528,-12.66819348,-7.612999588,-3.015265154,0.991639397,3.607798828,3.872267285,1.57045732,-2.438970834,-6.681920828,-9.343501268,-7.727454033,2.068219937,23.22198801,53.94442569,85.98957351,105.2194981,112.7036819,112.0483755,106.0755376,96.74009069,85.29104752,72.60266904,59.48187937,46.16320571,32.90915918,19.9492503,7.339653281,-4.917808077,-16.8206769,-28.05919714,-38.34789315,-47.46859739,-55.12763334,-61.01609194,-64.96461796,-67.06022402,-67.46612101,-66.23221872,-63.39646013,-59.16159072,-53.87858329,-47.87994664,-41.42088472,-34.74449179,-28.10790783,-21.73738046,-15.75083549,-10.15345662,-4.900517475,0.000494651,4.478921102,8.441200521,11.80234842,14.53901154,16.70354222,18.39899559,19.7323824,20.79889462,21.66781545,22.36495505,22.83292333,23.03874073,22.97728344,22.67967186,22.1843346,21.49574167,20.57685537,19.36523091,17.79839038,15.84317513,13.51441082,10.85705183,7.944553721,4.838592604,1.637852982,-1.553024097,-4.641216933,-7.564229136,-10.26648046,-12.69052675,-14.79922993,-16.55770007,-17.95146792,-18.98927169,-19.69225645,-20.05821143,-20.08521662,-19.77286949,-19.12098917,-18.14133831,-16.85280341,-15.2811621,-13.45994473,-11.43555776,-9.260948485,-6.991508076,-4.688160914,-2.40497712,-0.190222217,1.911689734,3.861249262,5.623493721,7.17139981,8.483799978,9.545476341,10.34739688,10.8869501,11.16834943,11.20213718,11.00373717,10.5933421,9.994848241,9.23247666,8.332853645,7.323615995,6.232481406,5.086291513,3.910490774,2.729716296
0215pbr,-7.13,298,0.021911788,0.088956492,0.201719563,0.361000951,0.56735949,0.820428417,1.118576934,1.459459859,1.843413164,2.273139636,2.743198485,3.246312287,3.774768406,4.321604382,4.88084574,5.447560024,6.017061961,6.582458073,7.138479278,7.680706816,8.203568867,8.705301951,9.187167327,9.650288634,10.09736818,10.53345345,10.94456931,5.727987834,-51.48361501,-90.33551314,-98.54174343,-88.06353523,-67.52563225,-43.40690861,-20.19923864,-6.840679097,0.803817809,6.910802663,13.14075696,19.84172868,26.8013739,33.66867598,40.04333921,45.02909635,46.61389377,42.33455463,31.26532276,14.96133942,-4.214707133,-23.7944148,-40.62461645,-52.44929158,-55.26716379,-43.3508753,-14.02919189,24.22890169,54.01045092,76.44469816,92.83798812,103.9572379,110.1212686,111.1060087,105.8707445,94.6766189,79.91517852,63.49467673,46.41323182,29.4576999,12.88542784,-3.178654569,-18.44572569,-32.43745906,-44.8538911,-55.1613732,-62.57248403,-66.70014338,-67.98809337,-67.0835916,-64.63344533,-60.87045045,-55.92488191,-49.90802679,-43.00712204,-35.56694985,-27.93168231,-20.44061452,-13.39899753,-7.068927252,-1.636791861,2.770699934,6.129421155,8.452250267,9.76146474,10.3409855,10.46886495,10.36583806,10.1738476,9.972125421,9.85629508,9.822652656,9.747695474,9.594419044,9.33747649,8.972272287,8.532327322,8.048917736,7.592341106,7.238218041,7.038899412,7.014292893,7.104764155,7.199406906,7.152554547,6.806285732,6.016428225,4.667376681,2.777211975,0.434135548,-2.22226871,-4.97141973,-7.608078807,-10.03622577,-12.22871721,-14.17419938,-15.84037329,-17.17550644,-18.13028316,-18.68409467,-18.85136442,-18.66228963,-18.14899923,-17.32898312,-16.19079975,-14.68496833,-12.73109326,-10.40869411,-7.848011481,-5.192448957,-2.577759162,-0.117523474,2.100445923,4.01707562,5.582294297,6.766707258,7.575297634,8.052403154,8.265317656,8.242970951,7.988808247,7.50958363,6.82921752,5.988519841,5.039319169,4.036023207,3.028445068,2.052351938,1.113026892,0.181018104,-0.749293939,-1.62422088
0182bro,-0.56,298,0.02406716,0.097278628,0.219050738,0.388588272,0.605042748,0.867195093,1.17294279,1.519028541,1.901230779,2.315049991,2.756496667,3.222425526,3.710129088,4.216379878,4.73727398,5.268858024,5.807040162,6.347543168,6.886097228,7.418481775,7.940691555,8.449333173,8.94196357,9.41783414,9.879140652,10.33254623,10.79116255,11.28411123,11.86667139,12.6018783,13.52701142,14.64466464,15.93419717,17.36577595,18.89458496,20.43766424,21.8906174,23.16064371,24.11736079,24.60322287,24.58641451,24.18719665,23.43314182,21.92122219,18.76787891,13.0696344,4.564441663,-6.055679454,-17.40261468,-27.94507342,-36.59458761,-42.78916684,-46.68294719,-48.80621737,-49.53801809,-48.97665642,-46.92912068,-42.90581239,-36.00675776,-25.09135963,-9.784961539,8.654746678,25.7332768,37.57887649,45.34432987,49.95087549,52.06895571,52.15618204,50.54103452,47.49988689,43.29312725,38.19545173,32.48382373,26.40545027,20.16548069,13.91929435,7.799749622,1.936644789,-3.546951333,-8.496875938,-12.72277123,-15.97241623,-18.11039491,-19.21609055,-19.44051996,-18.95708824,-17.94436556,-16.58576248,-15.06877552,-13.59141367,-12.32384059,-11.38459398,-10.83272964,-10.67832369,-10.89842354,-11.42545928,-12.14782913,-12.95174334,-13.73387999,-14.41964401,-14.96614995,-15.35974202,-15.59133066,-15.64180716,-15.48580222,-15.10136203,-14.47984548,-13.61859947,-12.51015235,-11.13962631,-9.492432147,-7.567869882,-5.40071662,-3.066541893,-0.649055321,1.762668209,4.065948334,6.156980486,7.94295107,9.35204433,10.36053735,10.99206277,11.28664992,11.27005842,10.96057047,10.3910375,9.595766513,8.612824237,7.484825337,6.258189347,4.981545247,3.703071217,2.468000714,1.317205692,0.285682619,-0.599190378,-1.320628042,-1.87676259,-2.281035167,-2.556228393,-2.725764201,-2.808832872,-2.820755974,-2.775740652,-2.692628725,-2.597786855,-2.522054647,-2.494313764,-2.525193963,-2.610042483,-2.739105708,-2.896353838,-3.058500514,-3.203059695,-3.315343656,-3.392649864,-3.434258749,-3.439230075,-3.406809008,-3.335851854
test4002,-2.49,298,0.014873186,0.060178261,0.135676468,0.240889815,0.3750208,0.536871277,0.724808271,0.936902892,1.171492966,1.427493363,1.704195474,2.000633449,2.314339748,2.642139079,2.980942379,3.32790867,3.680460224,4.036311666,4.393621763,4.751279428,5.109329213,5.46940744,5.834440349,6.207328727,6.590255786,6.98364939,7.387592892,7.804205602,8.238668561,8.699135894,9.195766915,9.739947461,10.34339677,11.01728099,11.77123354,12.6123821,13.54470249,14.56851189,15.67711924,16.82199112,17.74298258,17.61107378,15.08609747,9.421303755,1.409304804,-7.086302161,-14.311058,-19.22112847,-22.13800625,-23.58212021,-23.9804255,-23.67331484,-22.97102065,-22.25945592,-21.87546368,-22.21047919,-23.6104754,-26.20432842,-29.72640107,-33.13251538,-33.99897768,-28.75982442,-14.75415715,7.418327324,31.70808041,48.275766,58.47082985,63.9798267,66.00892039,65.42018865,62.85919778,58.82558493,53.70940191,47.83715037,41.45495481,34.75387504,27.87409373,20.93065597,14.03230927,7.295068769,0.851582124,-5.131456496,-10.44382496,-14.82288524,-18.00882156,-20.12943248,-21.42374484,-22.08478249,-22.26466477,-22.08247833,-21.63240122,-21.01168455,-20.2949712,-19.5229694,-18.73538124,-17.9873666,-17.3575754,-16.91949904,-16.70283206,-16.68315982,-16.7913763,-16.95340471,-17.10720312,-17.18720687,-17.10859263,-16.77268495,-16.09442419,-15.05656211,-13.73908005,-12.2236123,-10.57779649,-8.854882029,-7.091797066,-5.30065728,-3.45791003,-1.50395301,0.632696169,2.982118119,5.435245045,7.839465019,10.06136116,11.9934955,13.55692191,14.70167873,15.41397055,15.6986155,15.57846122,15.09128705,14.28388225,13.21429669,11.94228473,10.52370016,9.001180795,7.394445949,5.700107391,3.907304703,2.031255165,0.152442881,-1.647660775,-3.307944837,-4.785440509,-6.052762137,-7.095439507,-7.9094539,-8.49491012,-8.865109034,-9.039612401,-9.04086656,-8.892829434,-8.619526502,-8.243868448,-7.787908714,-7.275262254,-6.722319307,-6.142637125,-5.548595978,-4.951263528,-4.35977402,-3.780532397,-3.217421108
test1057,-4.1,298,0.068665622,0.27727434,0.623867502,1.106187203,1.721769054,2.467147208,3.336893583,4.323659985,5.41862561,6.610453453,7.887771061,9.24177198,10.66582983,12.15074481,13.68561784,15.25916483,16.85776139,18.46495224,20.06290783,21.63096051,23.14855729,24.60311781,25.98765989,27.30133805,28.55510821,29.77231079,30.9933767,32.31077263,33.90771624,35.90675555,35.20169349,15.41593055,-26.02958688,-48.19958734,-52.24208313,-46.12512605,-33.95696212,-18.07644124,-1.571948697,12.04525972,23.37115111,33.24207316,41.88080968,48.13418383,49.41413922,43.01604072,27.9939742,6.128903612,-18.69741519,-42.08274702,-60.27056683,-68.9796092,-63.82313079,-42.43763785,-8.075372916,29.98101272,58.51316038,79.71106652,97.58032996,113.6058666,126.850078,135.3124006,135.9993187,128.1183832,114.292707,96.73560164,76.74574426,55.62197004,34.16841707,12.52849087,-9.06902692,-30.27448738,-50.52338847,-68.98881972,-84.95334356,-98.05490448,-108.1976132,-115.2216318,-118.8737017,-119.1130027,-116.0540192,-109.9876869,-101.2183144,-90.15046556,-77.26744969,-63.14330838,-48.54134698,-34.26507416,-21.00249604,-9.291946171,0.536974226,8.329438865,14.09053218,17.94169419,20.12636859,21.02402111,21.0297294,20.42126196,19.31271567,17.65749785,15.34200221,12.35082432,8.826968005,4.996498854,1.107131903,-2.597580336,-5.906501464,-8.6477211,-10.68078061,-11.90231076,-12.26455378,-11.87667178,-10.98892553,-9.936305847,-9.034236764,-8.507554296,-8.397489527,-8.621711782,-9.081217544,-9.701985664,-10.404821,-11.11384523,-11.76509702,-12.26758729,-12.49059824,-12.30101319,-11.61187358,-10.41544863,-8.802743705,-6.95288535,-5.08117481,-3.35620594,-1.843036311,-0.515200167,0.744255909,2.051504892,3.473498938,5.062213456,6.836925385,8.763658429,10.73936518,12.59728006,14.1397285,15.18267859,15.58496035,15.27008764,14.20559072,12.42083161,10.01510723,7.133840752,3.9382958,0.600867302,-2.703048299,-5.798150683,-8.540944841,-10.85394041,-12.73312061,-14.23094318,-15.43320501,-16.40721783
0161dic,-1.36,298,0.013379791,0.054091239,0.121784377,0.215823047,0.335340225,0.479189509,0.645889976,0.833712393,1.040775399,1.265083565,1.50463198,1.75760671,2.022484867,2.297905222,2.581786969,2.871292651,3.163834093,3.457208836,3.749661099,4.039897769,4.327382347,4.61309925,4.900290224,5.194001202,5.499112105,5.818756227,6.154993072,6.51198649,6.89607822,7.315037703,7.777295089,8.291225491,8.864496852,9.503450645,10.21188623,10.97478442,11.68676433,12.10724659,12.0227358,11.42914025,10.4240588,8.800696472,5.833555323,0.925838376,-5.543718467,-12.3253923,-18.12110842,-22.09037578,-24.28373237,-25.19133805,-25.20481371,-24.62714537,-23.69729864,-22.68970691,-21.7448767,-20.52507081,-17.67229682,-11.02790063,0.759054133,16.7019677,32.7753145,42.6829609,47.57255046,49.07404418,48.39754644,46.18511547,42.93605621,39.01969883,34.68142816,30.07658343,25.32148161,20.52008902,15.74980663,11.05334533,6.454736076,1.974072965,-2.34973183,-6.427481958,-10.10447587,-13.15134725,-15.39475021,-16.88505431,-17.76465615,-18.16181438,-18.18318422,-17.91970578,-17.45112305,-16.8393326,-16.14012054,-15.43183671,-14.80445124,-14.3295213,-14.02482977,-13.83964883,-13.67657788,-13.43624953,-13.07948941,-12.6331212,-12.11883143,-11.54216591,-10.90331577,-10.21500885,-9.47122446,-8.651112796,-7.710503802,-6.583529584,-5.20390592,-3.538427423,-1.63811277,0.420248969,2.572424629,4.759126566,6.904769886,8.945054666,10.81410941,12.43870979,13.73675328,14.61715163,15.01288441,14.90003512,14.32888386,13.36887726,12.08751507,10.55108795,8.823975401,6.970013996,5.049939782,3.12034088,1.232694641,-0.568446421,-2.245684405,-3.767841689,-5.110163508,-6.254533986,-7.189123989,-7.905597833,-8.405886171,-8.700343599,-8.805047909,-8.740399529,-8.528573701,-8.191816849,-7.751950231,-7.229943644,-6.645512145,-6.017066922,-5.362640246,-4.695834597,-4.028030378,-3.368691231,-2.725683887,-2.105536798,-1.513597598,-0.954014517,-0.429858944,0.056809383,0.504358604,0.912186373,1.280857562,1.611231066
